DVD_Title|Studio|Released|Status|Sound|Versions|Price|Rating|Year|Genre|Aspect|UPC|DVD_ReleaseDate|ID|Timestamp|Updated
5-Movie Action Pack, Vol. 6|Echo Bridge|2014-01-07 00:00:00|Pending|2.0|4:3|9.99|VAR|VAR|Action/Adventure|1.33:1|096009167448|2014-01-07 00:00:00|256163|2013-11-21 00:00:00|0
5-Movie Action Pack, Vol. 7|Echo Bridge|2014-01-07 00:00:00|Pending|2.0|4:3|9.99|VAR|VAR|Action/Adventure|1.33:1|096009841898|2014-01-07 00:00:00|256185|2013-11-21 00:00:00|0
5-Movie Horror Collection|Echo Bridge|2014-01-07 00:00:00|Pending|2.0|4:3|9.99|VAR|VAR|Horror|1.33:1|096009146245|2014-01-07 00:00:00|256208|2013-11-21 00:00:00|0
5-Movie Horror Pack, Vol. 1|Echo Bridge|2014-01-07 00:00:00|Pending|2.0|4:3|9.99|VAR|VAR|Horror|1.33:1|096009146344|2014-01-07 00:00:00|256172|2013-11-21 00:00:00|0
5-Movie Horror Pack, Vol. 2|Echo Bridge|2014-01-07 00:00:00|Pending|2.0|4:3|9.99|VAR|VAR|Horror|1.33:1|096009836191|2014-01-07 00:00:00|256231|2013-11-21 00:00:00|0
5-Movie Horror Pack, Vol. 3|Echo Bridge|2014-01-07 00:00:00|Pending|2.0|4:3|9.99|VAR|VAR|Horror|1.33:1|096009836399|2014-01-07 00:00:00|256229|2013-11-21 00:00:00|0
8-Film British Cinema Collection: Jane Eyre (1996) / Becoming Jane / Ethan Frome / Serpent's Kiss / Brideshead Revisited / ...|Miramax Echo Bridge|2014-01-07 00:00:00|Pending|2.0|4:3|14.99|VAR|VAR|VAR|1.33:1|096009177447|2014-01-07 00:00:00|255063|2013-11-21 00:00:00|1
Abnormal Uterine Bleeding (Book w/ DVD)|Cambridge University Press||Out|2.0|4:3|73|NR|2010|Special Interest|1.33:1|9780521721837|2010-02-08 00:00:00|203926|2013-11-21 00:00:00|1
Abominable (Old Version)|Anchor Bay||Out|5.1|LBX, 16:9|19.98|R|2006|Horror|1.85:1|013131484694|2006-10-03 00:00:00|89712|2013-11-21 00:00:00|1
About Miracles|Vision Video||Out|2.0|4:3|19.99|NR|UNK|Special Interest|1.33:1|727985015460|2013-11-19 00:00:00|254069|2013-11-19 00:00:00|1
Abs Diet For Women Workout|GoodTimes Media||Discontinued|2.0|4:3|14.98|NR|UNK|Exercise|1.33:1|018713527059|2008-04-29 00:00:00|123494|2013-11-22 00:00:00|1
Acrylic Mixed Media|North Light Books|2013-12-24 00:00:00|Pending|2.0|4:3|29.99|NR|2013|Special Interest|1.33:1|9781440334245|2013-12-24 00:00:00|246962|2013-11-22 00:00:00|1
Action Pack B (3-Pack): Daredevil (Widescreen/ Special Edition) / Phone Booth (Special Edition) / Order (2003/ Special Edition)|Fox||Out|5.1|LBX, 16:9|39.98|VAR|VAR|Action/Adventure|VAR|024543152996|2004-12-07 00:00:00|49852|2013-11-21 00:00:00|1
Active Stealth (Fox)|Fox||Out|2.0|4:3|9.98|R|1999|Action/Adventure|1.33:1|024543055679|2002-12-17 00:00:00|23626|2013-11-21 00:00:00|1
Advanced Adobe Photoshop CS6 Digital Classroom (Book w/ DVD)|John Wiley & Sons||Out|2.0|4:3|49.99|NR|2013|Special Interest|1.33:1|9781118124147|2013-11-25 00:00:00|227826|2013-11-19 00:00:00|1
Advanced Lipid Testing: Physician's Reference|Focus Medica Pte Ltd.||Out|2.0|4:3|24.95|NR|2011|Special Interest|1.33:1|9789814284110|2011-03-15 00:00:00|197324|2013-11-22 00:00:00|1
Adventures Of Superboy: The Complete 4th Season (Archive Collection/ On Demand DVD-R)|Warner Brothers Digital Dist.||Out|2.0|4:3|35.99|NR|1991|TV Classics|1.33:1|883316883693|2013-11-19 00:00:00|254795|2013-11-19 00:00:00|1
Advocate (2013)|Osiris Entertainment||Out|2.0|LBX, 16:9|16.98|NR|2013|Suspense/Thriller|2.35:1|813153011829|2013-11-19 00:00:00|252421|2013-11-19 00:00:00|1
Agent Cody Banks (Special Edition)|MGM/UA||Out|5.1|4:3 P&S, LBX, 16:9|14.98|PG|2003|Action/Comedy|2.35:1|883904249702|2011-09-13 00:00:00|215354|2013-11-21 00:00:00|1
Al Pacino Collection (Special Edition): Local Stigmatic / Chinese Coffee / Looking For Richard / Babblelonia|Fox||Out|VAR|VAR|34.98|VAR|VAR|VAR|VAR|024543171812|2007-06-19 00:00:00|68853|2013-11-21 00:00:00|1
Alejandra Guzman: La Guzman En Primera Fila|Sony Norte|2014-01-21 00:00:00|Pending|2.0|LBX, 16:9|14.98|NR|UNK|Music|1.78:1|888430032590|2014-01-21 00:00:00|255088|2013-11-21 00:00:00|1
Alejandra Guzman: La Guzman En Primera Fila (Blu-ray)|Sony Norte|2014-01-21 00:00:00|Pending|2.0|LBX, 16:9, BLU-RAY|21.98|NR|UNK|Music|1.78:1|888430032699|2014-01-21 00:00:00|255201|2013-11-21 00:00:00|1
Alien Within / Evil Spawn|Retromedia||Out|2.0|4:3|19.99|NR|VAR|Horror|1.33:1|802993215603|2013-11-19 00:00:00|252088|2013-11-19 00:00:00|1
All About Eve (1950/ Special Edition/ 2-Disc)|Fox||Out|1.0|4:3|19.98|NR|1950|Drama|1.33:1|024543507321|2008-04-08 00:00:00|129326|2013-11-21 00:00:00|1
All American Christmas Carol|Gravitas Ventures||Out|2.0|LBX, 16:9|19.99|NR|2013|Drama|1.85:1|687797939494|2013-11-05 00:00:00|251497|2013-11-20 00:00:00|1
All Is Bright|Anchor Bay||Out|5.1|LBX, 16:9|26.98|R|2013|Comedy|1.85:1|013132602226|2013-11-19 00:00:00|251628|2013-11-19 00:00:00|1
All Is Bright (Blu-ray)|Anchor Bay||Out|5.1 TRUEHD|LBX, 16:9, BLU-RAY|29.99|R|2013|Comedy|1.85:1|013132602240|2013-11-19 00:00:00|251616|2013-11-19 00:00:00|1
All Or Nothing (2002)|MGM/UA||Out|5.1|LBX|14.98|R|2002|Drama|1.85:1|027616882776|2003-02-18 00:00:00|25443|2013-11-21 00:00:00|1
All The Right Moves / Lucas / The Wrestler|Fox||Out|VAR|4:3 P&S, LBX, 16:9|22.98|VAR|VAR|VAR|VAR|024543670995|2010-05-04 00:00:00|178171|2013-11-21 00:00:00|1
Alpha House|Asylum Home Entertainment|2014-03-18 00:00:00|Pending|2.0|LBX, 16:9|14.93|NR|2014|Comedy|1.85:1|018713612731|2014-03-18 00:00:00|256162|2013-11-21 00:00:00|0
Alvin And The Chipmunks: The Squeakquel / Squeak-Along (Limited Edition/ Back-To-Back)|Fox||Out|2.0|LBX, 16:9|34.98|PG|VAR|Family|1.85:1|024543666974|2010-03-30 00:00:00|176857|2013-11-21 00:00:00|1
Alvin And The Chipmunks: The Squeakquel / Squeak-Along (Limited Edition/ Side-By-Side)|Fox||Out|2.0|LBX, 16:9|34.98|PG|VAR|Family|1.85:1|024543660170|2010-03-30 00:00:00|176854|2013-11-21 00:00:00|1
American Bomber|IndiePix||Out|2.0|LBX, 16:9|19.95|NR|2012|Drama|1.85:1|845637002320|2013-11-19 00:00:00|252933|2013-11-19 00:00:00|1
Ancient Evil: Scream Of The Mummy (Platinum)|Platinum||Discontinued|2.0|4:3|6.99|R|2000|Horror|1.33:1|096009041892|2002-10-29 00:00:00|51151|2013-11-21 00:00:00|1
And Never Let Her Go|RHI Entertainment||Discontinued|2.0|4:3|12.95|NR|2001|Mystery/Suspense|1.33:1|796019805186|2007-10-16 00:00:00|117538|2013-11-21 00:00:00|1
And The Cows That Were Ugly And Gaunt Ate Up The Seven Sleek, Fat Cows|John Wiley & Sons||Out|2.0|4:3|60|NR|2013|Special Interest|1.33:1|9781118690291|2013-11-25 00:00:00|255069|2013-11-19 00:00:00|1
And While We Were Here|Well Go USA||Out|2.0|LBX, 16:9|24.98|R|2012|Drama|1.85:1|812491014448|2013-11-19 00:00:00|251080|2013-11-19 00:00:00|1
And While We Were Here (Blu-ray)|Well Go USA||Out|2.0|LBX, 16:9, BLU-RAY|29.98|R|2012|Drama|1.85:1|812491014455|2013-11-19 00:00:00|251082|2013-11-19 00:00:00|1
Android Cop|Asylum Home Entertainment|2014-02-04 00:00:00|Pending|2.0|LBX, 16:9|14.93|NR|UNK|SciFi|1.85:1|018713611451|2014-02-04 00:00:00|256106|2013-11-20 00:00:00|0
Android Cop (Blu-ray)|Asylum Home Entertainment|2014-02-04 00:00:00|Pending|2.0|LBX, 16:9, BLU-RAY|19.93|NR|UNK|SciFi|1.85:1|018713611468|2014-02-04 00:00:00|256150|2013-11-20 00:00:00|0
Andy Griffith Show (Paramount): The Complete 1st Season (Blu-ray)|Paramount|2014-03-18 00:00:00|Pending|1.0 DTS-HD|4:3, BLU-RAY|129.99|NR|1960|TV Classics|1.33:1|032429145024|2014-03-18 00:00:00|256218|2013-11-21 00:00:00|0
Angel Collection (Anchor Bay): Angel (1984) / Angel 2: Avenging Angel / Angel III: The Final Chapter|Anchor Bay||Out|2.0|LBX, 16:9|39.98|R|VAR|Action/Adventure|1.85:1|013131231991|2003-06-10 00:00:00|25374|2013-11-21 00:00:00|1
Animal Attraction (Platinum)|Platinum||Discontinued|2.0|4:3|6.99|R|2000|Late Night|1.33:1|096009042097|1999-06-29 00:00:00|26356|2013-11-21 00:00:00|1
Animated Dictionary Of Cardiology (Book w/ DVD)|Focus Medica Pte Ltd.||Out|2.0|4:3|24.95|NR|2010|Special Interest|1.33:1|9789814284066|2010-07-01 00:00:00|176152|2013-11-22 00:00:00|1
