DVD_Title|Studio|Released|Status|Sound|Versions|Price|Rating|Year|Genre|Aspect|UPC|DVD_ReleaseDate|ID|Timestamp|Updated
Dirty Laundry (2006)|Fox||Out|5.1|LBX, 16:9|9.98|PG-13|2006|Comedy/Drama|1.85:1|024543466536|2008-02-12 00:00:00|125136|2013-11-21 00:00:00|1
Discover Christmas: Oh Little Town Of Bethlehem / Don't Forget The Baby Jesus / ... (DVD/CD Combo 'The Meaning Of Christmas')|Echo Bridge||Discontinued|2.0|4:3|6.99|NR|VAR|Special Interest|1.33:1|096009950897|2010-11-09 00:00:00|189412|2013-11-21 00:00:00|1
Divergence Eve #1 - 3: Complete Collection / Misaki Chronicles #1 - 3: Complete Collection|Sentai FilmWorks||Out|SUB|LBX, 16:9|54.98|MA13|VAR|Anime|1.85:1|814131019226|2013-11-19 00:00:00|250449|2013-11-19 00:00:00|1
Doctor Who: The Tenth Planet|BBC Home Video||Out|2.0|4:3|34.98|NR|1966|TV Classics|1.33:1|883929334568|2013-11-19 00:00:00|251912|2013-11-19 00:00:00|1
Dog Soldiers (First Look)|First Look||Out|5.1|LBX, 16:9|9.98|R|2002|Horror|1.85:1|687797318992|2007-09-04 00:00:00|114767|2013-11-22 00:00:00|1
Doll's House|MGM/UA||Out|2.0|LBX|14.98|G|1973|Drama|1.85:1|027616884237|2003-03-04 00:00:00|25919|2013-11-21 00:00:00|1
Dolphin Tale / March Of The Penguins|Warner Brothers||Out|5.1|LBX, 16:9|19.94|VAR|VAR|VAR|1.85:1|883929351343|2013-11-19 00:00:00|250684|2013-11-19 00:00:00|1
Donnie Darko (Special Edition/ Director's Cut)|Fox||Out|5.1|LBX, 16:9|14.98|R|2001|SciFi|2.35:1|024543165033|2005-02-15 00:00:00|54521|2013-11-21 00:00:00|1
Doomsday Preppers: Season 3|National Geographic Video|2014-02-25 00:00:00|Pending|2.0|LBX, 16:9|29.93|NR|2013|TV Classics|1.78:1|727994932604|2014-02-25 00:00:00|256104|2013-11-20 00:00:00|0
Dora The Explorer: Dora In Wonderland (Limited Edition)|Nickelodeon|2014-03-04 00:00:00|Pending|2.0|4:3|16.99|NR|UNK|Family|1.33:1|097368054240|2014-03-04 00:00:00|256171|2013-11-21 00:00:00|0
Dora The Explorer: Dora In Wonderland (Limited Edition/ Checkpoint)|Nickelodeon|2014-03-04 00:00:00|Pending|2.0|4:3|16.99|NR|UNK|Family|1.33:1|097368054226|2014-03-04 00:00:00|256197|2013-11-21 00:00:00|0
Doug Unplugged|Dreamscape||Out|2.0|4:3|38.99|NR|2013|Special Interest|1.33:1|9780977709809|2013-11-19 00:00:00|252885|2013-11-19 00:00:00|1
Dragon Adventures: Double Feature: Dragon Hill / DragonBlade: The Beginning|Eagle One Media||Out|2.0|4:3|16.95|NR|VAR|Animation|1.33:1|821564104306|2013-11-19 00:00:00|252936|2013-11-19 00:00:00|1
Dragons: Riders Of Berk|Fox||Out|2.0|LBX, 16:9|14.98|NR|2012|Animation|1.78:1|024543847281|2012-11-20 00:00:00|235843|2013-11-21 00:00:00|1
Drawing Made Easy|North Light Books|2013-11-29 00:00:00|Pending|2.0|4:3|24.99|NR|2013|Special Interest|1.33:1|9781440334160|2013-11-29 00:00:00|246966|2013-11-22 00:00:00|1
DreamWorks Holiday Collection: Shrek The Halls / Kung Fu Panda Holiday / Merry Madagascar / Dragons: Gift Of The Night Fury|DreamWorks Animated||Out|5.1|LBX, 16:9|29.99|VAR|VAR|Animation|1.78:1|037117077731|2013-10-22 00:00:00|249462|2013-11-21 00:00:00|1
Drew: The Man Behind The Poster|Kino Lorber||Out|2.0|LBX, 16:9|26.95|NR|2013|Documentary|1.85:1|738329116026|2013-11-19 00:00:00|251343|2013-11-19 00:00:00|1
Drew: The Man Behind The Poster (Blu-ray)|Kino Lorber||Out|2.0|LBX, 16:9, BLU-RAY|29.95|NR|2013|Documentary|1.85:1|738329116125|2013-11-19 00:00:00|251371|2013-11-19 00:00:00|1
Drums Along The Mohawk (Special Edition)|Fox||Out|1.0|4:3|19.98|NR|1939|Western|1.33:1|024543482765|2007-12-04 00:00:00|123289|2013-11-21 00:00:00|1
Duck Dynasty (Thomas Nelson): Gift Set: Seasons 1 - 3|Thomas Nelson|2013-12-03 00:00:00|Pending|2.0|LBX, 16:9|57.99|NR|VAR|TV Classics|1.78:1|9780529103536|2013-12-03 00:00:00|256183|2013-11-21 00:00:00|0
Duck Dynasty (Thomas Nelson): Gift Set: Seasons 1 - 3 (Blu-ray)|Thomas Nelson|2013-12-03 00:00:00|Pending|2.0|LBX, 16:9, BLU-RAY|57.99|NR|VAR|TV Classics|1.78:1|9780529110473|2013-12-03 00:00:00|256178|2013-11-21 00:00:00|0
Duck Dynasty (Thomas Nelson): I'm Dreaming Of A Redneck Christmas|Thomas Nelson||Out|2.0|LBX, 16:9|9.99|NR|2012|TV Classics|1.78:1|9780529103512|2013-11-05 00:00:00|256187|2013-11-21 00:00:00|0
Duck Dynasty (Thomas Nelson): Season 1 (Blu-ray)|Thomas Nelson|2014-01-07 00:00:00|Pending|2.0|LBX, 16:9, BLU-RAY|24.99|NR|2012|TV Classics|1.78:1|9780529109125|2014-01-07 00:00:00|256169|2013-11-21 00:00:00|0
Duck Dynasty (Thomas Nelson): Season 2 (Blu-ray)|Thomas Nelson|2014-01-07 00:00:00|Pending|2.0|LBX, 16:9, BLU-RAY|24.99|NR|2012|TV Classics|1.78:1|9780529109132|2014-01-07 00:00:00|256224|2013-11-21 00:00:00|0
Duck Dynasty (Thomas Nelson): Season 3 (Blu-ray)|Thomas Nelson|2014-01-07 00:00:00|Pending|2.0|LBX, 16:9, BLU-RAY|24.99|NR|2013|TV Classics|1.78:1|9780529109149|2014-01-07 00:00:00|256198|2013-11-21 00:00:00|0
Duck Dynasty (Thomas Nelson): Season 4|Thomas Nelson|2014-01-07 00:00:00|Pending|2.0|LBX, 16:9|21.99|NR|2013|TV Classics|1.78:1|9780529109095|2014-01-07 00:00:00|256188|2013-11-21 00:00:00|0
Duck Dynasty (Thomas Nelson): Season 4 (Blu-ray)|Thomas Nelson|2014-01-07 00:00:00|Pending|2.0|LBX, 16:9, BLU-RAY|24.99|NR|2013|TV Classics|1.78:1|9780529109101|2014-01-07 00:00:00|256203|2013-11-21 00:00:00|0
Due South (Echo Bridge): The Complete Series|Echo Bridge|2014-01-07 00:00:00|Pending|2.0|4:3|29.99|NR|VAR|TV Classics|1.33:1|096009173142|2014-01-07 00:00:00|256234|2013-11-21 00:00:00|0
Dvorak: Symphony No. 9 / Smetana: Moldau / Liszt: Les Preludes: Ferenc Fricsay (Audio Only Blu-ray)|Deutsche Grammophon||Out|2.0|4:3, BLU-RAY|24.98|NR|UNK|Music|1.33:1|028947910824|2013-11-19 00:00:00|254113|2013-11-19 00:00:00|1
Dying Young (Fox)|Fox||Out|2.0|LBX, 16:9|9.98|R|1991|Drama|1.85:1|024543106210|2004-02-03 00:00:00|37292|2013-11-21 00:00:00|1
Dynasty (1981): The 8th Season, Vol. 1|Paramount|2014-03-18 00:00:00|Pending|2.0|4:3|38.99|NR|1987|TV Classics|1.33:1|097366245947|2014-03-18 00:00:00|256173|2013-11-21 00:00:00|0
Dynasty (1981): The 8th Season, Vol. 1 & 2|Paramount|2014-03-18 00:00:00|Pending|2.0|4:3|69.99|NR|1987|TV Classics|1.33:1|032429149237|2014-03-18 00:00:00|256191|2013-11-21 00:00:00|0
Dynasty (1981): The 8th Season, Vol. 2|Paramount|2014-03-18 00:00:00|Pending|2.0|4:3|38.99|NR|1988|TV Classics|1.33:1|032429144997|2014-03-18 00:00:00|256153|2013-11-21 00:00:00|0
Edgar Allan Poe's Horror (a.k.a. The Blancheville Monster/ 50th Anniversary Edition)|Retromedia||Out|2.0|LBX, 16:9|14.99|NR|1963|Foreign|1.66:1|802993215801|2013-11-19 00:00:00|252087|2013-11-19 00:00:00|1
Edward Scissorhands (Pan & Scan/ Special Edition)|Fox||Out|5.1|4:3 P&S|14.98|PG-13|1990|Fantasy|1.33:1|024543037644|2002-05-21 00:00:00|17277|2013-11-21 00:00:00|1
Egypt In Crisis: Frontline|PBS||Out|2.0|LBX, 16:9|24.99|NR|2013|Documentary|1.78:1|841887019866|2013-11-19 00:00:00|250849|2013-11-19 00:00:00|1
Eight Men Out|MGM/UA||Out|1.0|LBX, 16:9|14.98|PG|1988|Drama|1.85:1|883904249597|2011-09-27 00:00:00|216114|2013-11-21 00:00:00|1
El Dorado (Paramount/ Checkpoint)|Paramount||Discontinued|1.0|LBX, 16:9|6.99|NR|1966|Western|1.85:1|097360662528|2000-03-21 00:00:00|52716|2013-11-21 00:00:00|1
El Dorado (Paramount/ SensorMatic)|Paramount||Discontinued|1.0|LBX, 16:9|6.99|NR|1966|Western|1.85:1|097360662542|2000-03-21 00:00:00|1915|2013-11-21 00:00:00|1
El Dorado (Warner Brothers/ Blu-ray)|Warner Brothers|2014-03-11 00:00:00|Pending|1.0 DTS-HD|LBX, 16:9, BLU-RAY|19.98|NR|1966|Western|1.85:1|883929389360|2014-03-11 00:00:00|256214|2013-11-21 00:00:00|0
Elektra (Widescreen/ Unrated Version/ Director's Cut)|Fox||Out|5.1|LBX, 16:9|19.98|UR|2005|Action/Adventure|2.35:1|024543208358|2005-10-18 00:00:00|68848|2013-11-21 00:00:00|1
Element: AM & PM Yoga|Anchor Bay||Out|2.0|4:3|14.98|NR|UNK|Exercise|1.33:1|013131672091|2009-12-29 00:00:00|177908|2013-11-21 00:00:00|1
Element: Pilates For Weight Loss|Anchor Bay||Out|2.0|4:3|14.98|NR|UNK|Exercise|1.33:1|013131672299|2009-10-06 00:00:00|164532|2013-11-21 00:00:00|1
Element: Yoga For Stress Releif & Flexibility (Susan G. Komen Edition)|Anchor Bay||Out|2.0|LBX, 16:9|14.98|NR|2010|Exercise|1.78:1|013132274294|2010-12-28 00:00:00|224777|2013-11-21 00:00:00|1
Element: Yoga For Weight Loss|Anchor Bay||Out|2.0|4:3|14.98|NR|UNK|Exercise|1.33:1|013131631692|2009-09-08 00:00:00|163310|2013-11-21 00:00:00|1
Elephant Tales|MGM/UA||Out|5.1|4:3, LBX, 16:9|14.98|G|2006|Family|2.35:1|883904117186|2008-12-09 00:00:00|144676|2013-11-21 00:00:00|1
Elvis Presley: Elvis Gift Set|MGM/UA||Out|2.0|VAR|39.98|NR|VAR|Musical|1.33:1|883904255000|2011-11-11 00:00:00|215313|2013-11-21 00:00:00|1
Elvis: The Mini-Series|Anchor Bay / Starz||Out|2.0|LBX, 16:9|26.97|NR|2005|Drama|1.78:1|013131544091|2007-08-14 00:00:00|115338|2013-11-21 00:00:00|1
Emeli Sande: Live At The Royal Albert Hall|Capitol Records||Out|2.0|LBX, 16:9|19.98|NR|UNK|Music|1.78:1|602537396450|2013-11-19 00:00:00|251827|2013-11-19 00:00:00|1
Emeli Sande: Live At The Royal Albert Hall (Blu-ray)|Capitol Records||Out|2.0|LBX, 16:9, BLU-RAY|24.98|NR|UNK|Music|1.78:1|602537487738|2013-11-19 00:00:00|251786|2013-11-19 00:00:00|1
Emmet Otter's Jug-Band Christmas (Lions Gate)|Lions Gate||Discontinued|2.0|4:3|14.98|NR|1977|Family|1.33:1|031398114055|2009-09-01 00:00:00|166548|2013-11-22 00:00:00|1
English Unlimited Advanced A And B (Book w/ DVD)|Cambridge University Press|2013-12-31 00:00:00|Pending|2.0|4:3|51|NR|2013|Special Interest|1.33:1|9781107619418|2013-12-31 00:00:00|250210|2013-11-22 00:00:00|1
English Unlimited Advanced A Combo (Book w/ DVD)|Cambridge University Press|2013-12-31 00:00:00|Pending|2.0|4:3|33|NR|2013|Special Interest|1.33:1|9781107663138|2013-12-31 00:00:00|250184|2013-11-22 00:00:00|1
English Unlimited Advanced B Combo (Book w/ DVD)|Cambridge University Press|2013-12-31 00:00:00|Pending|2.0|4:3|33|NR|2013|Special Interest|1.33:1|9781107659001|2013-12-31 00:00:00|250243|2013-11-22 00:00:00|1
English Unlimited Elementary A And B Teacher's Pack (Book w/ DVD)|Cambridge University Press|2013-12-31 00:00:00|Pending|2.0|4:3|51|NR|2013|Special Interest|1.33:1|9781107691834|2013-12-31 00:00:00|248240|2013-11-22 00:00:00|1
English Unlimited Elementary A Combo (Book w/ DVD)|Cambridge University Press|2013-12-31 00:00:00|Pending|2.0|4:3|32|NR|2013|Special Interest|1.33:1|9781107698840|2013-12-31 00:00:00|248237|2013-11-22 00:00:00|1
English Unlimited Elementary B Combo (Book w/ DVD)|Cambridge University Press|2013-12-31 00:00:00|Pending|2.0|4:3|32|NR|2013|Special Interest|1.33:1|9781107649286|2013-12-31 00:00:00|248222|2013-11-22 00:00:00|1
English Unlimited Intermediate A And B Teacher's Pack (Book w/ DVD)|Cambridge University Press|2013-12-31 00:00:00|Pending|2.0|4:3|51|NR|2013|Special Interest|1.33:1|9781107633650|2013-12-31 00:00:00|248253|2013-11-22 00:00:00|1
English Unlimited Intermediate A Combo (Book w/ DVD)|Cambridge University Press|2013-12-31 00:00:00|Pending|2.0|4:3|32|NR|2013|Special Interest|1.33:1|9781107631038|2013-12-31 00:00:00|248219|2013-11-22 00:00:00|1
English Unlimited Intermediate B Combo (Book w/ DVD)|Cambridge University Press|2013-12-31 00:00:00|Pending|2.0|4:3|32|NR|2013|Special Interest|1.33:1|9781107667433|2013-12-31 00:00:00|248255|2013-11-22 00:00:00|1
English Unlimited Starter A And B Teacher's Pack (Book w/ DVD)|Cambridge University Press|2013-12-31 00:00:00|Pending|2.0|4:3|51|NR|2013|Special Interest|1.33:1|9781107679108|2013-12-31 00:00:00|247508|2013-11-22 00:00:00|1
English Unlimited Starter A Combo (Book w/ DVD)|Cambridge University Press|2013-12-31 00:00:00|Pending|2.0|4:3|30|NR|2013|Special Interest|1.33:1|9781107661349|2013-12-31 00:00:00|247586|2013-11-22 00:00:00|1
English Unlimited Starter B Combo (Book w/ DVD)|Cambridge University Press|2013-12-31 00:00:00|Pending|2.0|4:3|30|NR|2013|Special Interest|1.33:1|9781107683853|2013-12-31 00:00:00|247500|2013-11-22 00:00:00|1
Entrapment (Widescreen/ Blu-ray)|Fox||Out|5.1 DTS-HD|LBX, 16:9, BLU-RAY|14.99|PG-13|1999|Mystery/Suspense|2.35:1|024543414476|2007-02-13 00:00:00|98952|2013-11-21 00:00:00|1
Epica: Retrospect (DVD/CD Combo)|Nuclear Blast||Out|2.0|4:3|44.98|NR|UNK|Music|1.33:1|727361311704|2013-11-25 00:00:00|254671|2013-11-19 00:00:00|1
Eric Clapton's Crossroads Guitar Festival 2013|Rhino||Out|5.1|LBX, 16:9|24.99|NR|2013|Music|1.78:1|603497907717|2013-11-19 00:00:00|254128|2013-11-19 00:00:00|1
Eric Clapton's Crossroads Guitar Festival 2013 (Blu-ray)|Rhino||Out|5.1 DTS-HD|LBX, 16:9, BLU-RAY|29.99|NR|2013|Music|1.78:1|603497907724|2013-11-19 00:00:00|254126|2013-11-19 00:00:00|1
Erik The Conqueror|Anchor Bay / Starz||Out|2.0|LBX, 16:9|9.98|NR|1961|Action/Adventure|2.35:1|013131486698|2007-10-23 00:00:00|113816|2013-11-21 00:00:00|1
Escape To Capital Cities Of The World: Berlin And Vienna|Echo Bridge||Discontinued|2.0|LBX|6.99|NR|UNK|Special Interest|1.78:1|096009643393|2009-11-10 00:00:00|170103|2013-11-21 00:00:00|1
Escape To Capital Cities Of The World: London And Madrid|Echo Bridge||Discontinued|2.0|LBX|6.99|NR|UNK|Special Interest|1.78:1|096009643096|2009-11-10 00:00:00|170138|2013-11-21 00:00:00|1
Escape To Capital Cities Of The World: Tokyo And Moscow|Echo Bridge||Discontinued|2.0|LBX|6.99|NR|UNK|Special Interest|1.78:1|096009643492|2009-11-10 00:00:00|170152|2013-11-21 00:00:00|1
Escape Your Shape: 21-Day Body Makeover|Acacia||Out|2.0|LBX, 16:9|16.99|NR|2013|Exercise|1.78:1|054961212293|2013-11-19 00:00:00|251896|2013-11-19 00:00:00|1
Europa Europa|MGM/UA||Out|SUB|LBX|14.98|R|1990|Foreign|1.85:1|027616884190|2003-03-04 00:00:00|25957|2013-11-21 00:00:00|1
Evangelion: 3.33: You Can [Not] Redo|FUNimation|2014-02-18 00:00:00|Pending|SUB|LBX, 16:9|29.98|MA13|2012|Anime|2.35:1|704400098772|2014-02-18 00:00:00|256279|2013-11-22 00:00:00|0
Evangelion: 3.33: You Can [Not] Redo (Blu-ray)|FUNimation|2014-02-18 00:00:00|Pending|SUB|LBX, 16:9, BLU-RAY|34.98|MA13|2012|Anime|2.35:1|704400098888|2014-02-18 00:00:00|256261|2013-11-22 00:00:00|0
Eve Of Destruction (1991/ Shout! Factory/ Blu-ray)|Shout! Factory||Out|2.0|LBX, 16:9, BLU-RAY|19.97|R|1991|Action/Adventure|1.85:1|826663144871|2013-11-19 00:00:00|251161|2013-11-19 00:00:00|1
Ever Again|Anchor Bay / Starz||Discontinued|2.0|4:3|19.97|NR|2006|Documentary|1.33:1|013131525595|2007-09-11 00:00:00|114610|2013-11-21 00:00:00|1
Extremely Loud & Incredibly Close / World Trade Center|Warner Brothers||Out|5.1|LBX, 16:9|19.94|PG-13|VAR|Drama|VAR|883929351336|2013-11-19 00:00:00|250687|2013-11-19 00:00:00|1
Eye And Telescope V3.0: The Deep Sky Observing Planner (DVD-ROM)|Cambridge University Press||Out|2.0|4:3|80|NR|2011|Special Interest|1.33:1|9780521151153|2011-08-22 00:00:00|195095|2013-11-21 00:00:00|1
F6: Twister|Hybrid|2014-02-04 00:00:00|Pending|2.0|LBX, 16:9|14.93|PG|2012|Action/Adventure|1.85:1|018713611413|2014-02-04 00:00:00|256111|2013-11-20 00:00:00|0
face2face Advanced Presentation (DVD-ROM)|Cambridge University Press|2014-04-30 00:00:00|Pending|2.0|4:3|189.3|NR|2014|Special Interest|1.33:1|9781107655348|2014-04-30 00:00:00|254465|2013-11-22 00:00:00|1
face2face Advanced Student's Book (Book w/ DVD)|Cambridge University Press|2013-12-31 00:00:00|Pending|2.0|4:3|40|NR|2013|Special Interest|1.33:1|9781107679344|2013-12-31 00:00:00|247514|2013-11-22 00:00:00|1
face2face Advanced Teacher's Book (Book w/ DVD)|Cambridge University Press|2013-12-31 00:00:00|Pending|2.0|4:3|48|NR|2013|Special Interest|1.33:1|9781107690967|2013-12-31 00:00:00|247569|2013-11-22 00:00:00|1
face2face Starter Presentation (DVD-ROM)|Cambridge University Press|2014-05-31 00:00:00|Pending|2.0|4:3|189.3|NR|2013|Special Interest|1.33:1|9781107614758|2014-05-31 00:00:00|254463|2013-11-22 00:00:00|1
face2face Starter Student's Book (Book w/ DVD)|Cambridge University Press|2013-12-31 00:00:00|Pending|2.0|4:3|40|NR|2013|Special Interest|1.33:1|9781107654402|2013-12-31 00:00:00|247559|2013-11-22 00:00:00|1
face2face Starter Teacher's Book (Book w/ DVD)|Cambridge University Press|2013-12-31 00:00:00|Pending|2.0|4:3|41|NR|2013|Special Interest|1.33:1|9781107650411|2013-12-31 00:00:00|247522|2013-11-22 00:00:00|1
face2face Upper Intermediate Teacher's Book (Book w/ DVD)|Cambridge University Press|2014-02-28 00:00:00|Pending|2.0|4:3|41|NR|2013|Special Interest|1.33:1|9781107629356|2014-02-28 00:00:00|237862|2013-11-22 00:00:00|1
Fairy Tail: Part 8 (DVD & Blu-ray Combo)|FUNimation|2014-02-04 00:00:00|Pending|SUB|LBX, 16:9, BLU-RAY|54.98|MA13|2010|Anime|1.85:1|704400091742|2014-02-04 00:00:00|256235|2013-11-22 00:00:00|0
Family Thanksgiving (DVD/CD Combo 'Sounds Of The Season')|Echo Bridge||Discontinued|2.0|4:3|6.99|NR|2010|Drama|1.33:1|096009724399|2011-09-13 00:00:00|211791|2013-11-21 00:00:00|1
Fantastic Four (2005/ Widescreen)|Fox||Out|5.1/DTS|LBX, 16:9|14.98|PG-13|2005|SciFi|2.35:1|024543196037|2005-12-06 00:00:00|71942|2013-11-21 00:00:00|1
Fantastic Four (2006): Worlds Greatest Heroes: Complete Season 1|Fox||Out|5.1|LBX, 16:9|19.98|NR|2006|Animation|1.78:1|024543477143|2008-06-10 00:00:00|132810|2013-11-21 00:00:00|1
Fat Albert (Special Edition/ Old Version)|Fox||Out|5.1|4:3 P&S, LBX, 16:9|14.98|PG|2004|Comedy|1.85:1|024543175490|2005-03-22 00:00:00|59257|2013-11-21 00:00:00|1
Fat-Burning Kickboxing Workout For Dummies|Anchor Bay||Out|2.0|4:3|14.98|NR|2006|Exercise|1.33:1|013131462999|2006-10-03 00:00:00|90884|2013-11-21 00:00:00|1
Fear Lives Here|Matabo Entertainment||Out|2.0|4:3|24.95|NR|2012|Horror|1.33:1|760137595298|2013-11-19 00:00:00|250992|2013-11-19 00:00:00|1
Fetal Echocardiography: A Practical Guide (Book w/ DVD)|Cambridge University Press||Out|2.0|4:3|210|NR|UNK|Special Interest|1.33:1|9780521695206|2009-07-31 00:00:00|191606|2013-11-21 00:00:00|1
Fight Club (1-Disc Special Edition/ Old Version) / Kiss Of The Dragon (Widescreen/ Special Edition) (Back-To-Back)|Fox||Out|5.1|LBX, 16:9|24.98|R|VAR|Action/Adventure|VAR|024543218456|2005-12-13 00:00:00|72206|2013-11-21 00:00:00|1
Final Days Of Planet Earth / The Last Sentinel|Echo Bridge||Discontinued|5.1|LBX, 16:9|9.99|VAR|VAR|SciFi|1.85:1|096009564490|2010-11-23 00:00:00|194659|2013-11-21 00:00:00|1
Fitzcarraldo (Cult Film Series: Cult Fiction)|Anchor Bay||Out|2.0|LBX, 16:9|14.98|PG|1982|Foreign|1.85:1|013131579796|2008-03-04 00:00:00|129740|2013-11-21 00:00:00|1
Five Finger Death Punch: The Wrong Side Of Heaven And The Righteous Side Of Hell, Vol. 2 (Deluxe Edition/ DVD/CD Combo)|Prospect Park||Out|2.0|4:3|24.98|NR|UNK|Music|1.33:1|813985011608|2013-11-19 00:00:00|254110|2013-11-19 00:00:00|1
Five Heartbeats|Fox||Out|4.0|LBX, 16:9|9.98|R|1991|Drama|1.85:1|024543018766|2002-01-22 00:00:00|14715|2013-11-21 00:00:00|1
Five Heartbeats (15th Anniversary Special Edition/ DVD/CD Combo/ Pan & Scan)|Fox||Out|4.0|4:3 P&S|9.98|R|1991|Drama|1.33:1|024543219118|2006-01-10 00:00:00|74095|2013-11-22 00:00:00|1
Five Heartbeats (15th Anniversary Special Edition/ DVD/CD Combo/ Widescreen)|Fox||Out|4.0|LBX, 16:9|9.98|R|1991|Drama|1.85:1|024543225270|2006-01-10 00:00:00|74097|2013-11-22 00:00:00|1
Five Heartbeats (Blu-ray)|Fox|2014-01-21 00:00:00|Pending|4.0 DTS-HD|LBX, 16:9, BLU-RAY|14.99|R|1991|Drama|1.85:1|024543894780|2014-01-21 00:00:00|256281|2013-11-22 00:00:00|0
Flamingo Kid (MGM/UA)|MGM/UA||Out|1.0|4:3 P&S, LBX, 16:9|14.98|PG-13|1984|Comedy|1.85:1|883904249580|2011-09-27 00:00:00|216077|2013-11-21 00:00:00|1
Flashpoint (2008): Complete Series Pack|Paramount|2014-03-18 00:00:00|Pending|5.1|LBX, 16:9|239.99|NR|VAR|TV Classics|1.78:1|032429148629|2014-03-18 00:00:00|256177|2013-11-21 00:00:00|0
Flashpoint (2008): The 5th Season: The Final Season|Paramount|2014-03-18 00:00:00|Pending|5.1|LBX, 16:9|38.99|NR|2012|TV Classics|1.78:1|097368060340|2014-03-18 00:00:00|256164|2013-11-21 00:00:00|0
Flintstone Kids: Rockin' In Bedrock|Warner Brothers|2014-03-11 00:00:00|Pending|2.0|4:3|19.97|NR|VAR|Animation|1.33:1|883929342785|2014-03-11 00:00:00|256238|2013-11-22 00:00:00|0
Florida Georgia Line: Here's To The Good Times: This Is How We Roll|Big Machine Records||Out|2.0|4:3|24.98|NR|UNK|Music|1.33:1|602537611430|2013-11-25 00:00:00|254608|2013-11-19 00:00:00|1
Flyboys (Widescreen/ Special Edition)|MGM/UA||Out|5.1|LBX, 16:9|19.98|PG-13|2006|War|2.35:1|027616065346|2007-01-30 00:00:00|101240|2013-11-21 00:00:00|1
Fog City Mavericks: The Filmmakers Of San Francisco|Anchor Bay||Out|2.0|LBX, 16:9|9.98|NR|2007|Documentary|1.78:1|013138303585|2008-04-08 00:00:00|131009|2013-11-21 00:00:00|1
Fooled By Rational Turbulence Video|John Wiley & Sons||Out|2.0|4:3|60|NR|2013|Special Interest|1.33:1|9781118768532|2013-11-25 00:00:00|255111|2013-11-19 00:00:00|1
For Queen & Country|MGM/UA||Out|2.0|LBX, 16:9|14.98|R|1988|Drama|1.85:1|027616906953|2004-06-01 00:00:00|44720|2013-11-21 00:00:00|1
Forever Marilyn Collection (Blu-ray): Gentlemen Prefer Blondes / How To Marry A Millionaire / River Of No Return / ...|Fox||Out|2.0|LBX, 16:9, BLU-RAY|99.99|NR|VAR|VAR|VAR|024543698975|2012-07-31 00:00:00|229173|2013-11-21 00:00:00|1
Francis: The Pope From The New World|Janson||Out|2.0|4:3|19.95|NR|UNK|Documentary|1.33:1|646032055696|2013-11-20 00:00:00|256199|2013-11-21 00:00:00|0
French Connection (Collector's Edition)|Fox||Out|5.1|LBX, 16:9|14.98|R|1971|Thriller|1.85:1|024543225812|2006-02-07 00:00:00|75692|2013-11-21 00:00:00|1
Freshwater Algal Flora Of The British Isles: An Identification Guide To Freshwater And Terrestrial Algae (Book w/ DVD-ROM)|Cambridge University Press||Out|2.0|4:3|211|NR|2011|Special Interest|1.33:1|9780521193757|2011-12-12 00:00:00|192223|2013-11-21 00:00:00|1
Fruit's Basket #1- 4: The Complete Classic Series|FUNimation|2014-02-04 00:00:00|Pending|SUB|4:3|49.98|MA13|2001|Anime|1.33:1|704400031076|2014-02-04 00:00:00|256276|2013-11-22 00:00:00|0
Fundamental Techinique For Marching Percussion|Warner Brothers Publishing||Out|2.0|4:3|24.95|NR|UNK|Special Interest|1.33:1|038081292434|2007-02-06 00:00:00|103857|2013-11-21 00:00:00|1
Furnace|Melee Entertainment||Out|5.1|LBX|6.95|NR|2006|Horror|1.78:1|796019809795|2008-02-12 00:00:00|127726|2013-11-21 00:00:00|1
Gallagher: Best Of Gallagher, Vol. 3|Anchor Bay / Starz||Out|2.0|4:3|9.98|NR|VAR|Comedy|1.33:1|013131467499|2007-12-04 00:00:00|122555|2013-11-21 00:00:00|1
Ganzfeld Haunting|Screen Media Films|2014-02-18 00:00:00|Pending|2.0|LBX, 16:9|24.98|NR|2014|Horror|1.85:1|814838013527|2014-02-18 00:00:00|256205|2013-11-21 00:00:00|0
Garfield Show: It's Showtime|Dargaud Media|2014-02-18 00:00:00|Pending|2.0|4:3|14.93|NR|UNK|Animation|1.33:1|883476132297|2014-02-18 00:00:00|256151|2013-11-20 00:00:00|0
Gaslight Anthem: Live In London|Mercury Records|2013-12-17 00:00:00|Pending|2.0|4:3|14.98|NR|UNK|Music|1.33:1|602537644407|2013-12-17 00:00:00|255390|2013-11-21 00:00:00|1
Gates And Rowan's Nonepileptic Seizures (Book w/ DVD)|Cambridge University Press||Out|2.0|4:3|161|NR|2010|Special Interest|1.33:1|9780521517638|2010-01-25 00:00:00|217199|2013-11-21 00:00:00|1
Generation Kill|HBO||Out|2.0|4:3|39.98|NR|2008|War|1.33:1|883929289349|2013-11-19 00:00:00|255609|2013-11-19 00:00:00|1
Gentlemen Broncos|Fox||Out|5.1|LBX, 16:9|14.98|PG-13|2009|Comedy|1.85:1|024543602545|2010-03-02 00:00:00|175345|2013-11-21 00:00:00|1
George Thorogood & The Destroyers: Live At Montreux 2013|Eagle Vision||Out|5.1/DTS|LBX, 16:9|14.98|NR|2013|Music|1.78:1|801213066391|2013-11-19 00:00:00|253398|2013-11-19 00:00:00|1
